word,meaning,example,ipa
The,(Mạo từ xác định),The cat is sleeping.,/ðə/
Be,"Thì, là, ở",I want to be a teacher.,/biː/
To,"Đến, đối với",I go to school.,/tuː/
Of,Của,A cup of coffee.,/əv/
And,Và,Bread and butter.,/ænd/
A,Một,I have a book.,/ə/
In,Trong,It is in the box.,/ɪn/
That,"Đó, kia",That is my house.,/ðæt/
Have,Có,I have a car.,/hæv/
I,Tôi,I am hungry.,/aɪ/
It,Nó,It is raining.,/ɪt/
For,"Cho, vì",This is for you.,/fɔːr/
Not,Không,It is not cold.,/nɒt/
On,Trên,The book is on the table.,/ɒn/
With,Với,I go with my friend.,/wɪð/
He,Anh ấy,He is tall.,/hiː/
As,"Như, vì",Do as I say.,/æz/
You,Bạn,How are you?,/juː/
Do,Làm,I do my homework.,/duː/
At,"Tại, ở",Meet me at the park.,/æt/
This,"Đây, này",This is delicious.,/ðɪs/
But,Nhưng,"I like it, but it's expensive.",/bʌt/
His,Của anh ấy,What is his name?,/hɪz/
By,"Bằng, bởi",I go to work by bus.,/baɪ/
From,Từ,Where are you from?,/frɒm/
They,Họ,They are playing soccer.,/ðeɪ/
We,Chúng tôi,We are happy.,/wiː/
Say,Nói,What did you say?,/seɪ/
Her,Của cô ấy,That is her bag.,/hɜːr/
She,Cô ấy,She is a doctor.,/ʃiː/
Or,Hoặc,Do you want tea or coffee?,/ɔːr/
An,Một,An apple a day.,/æn/
Will,Sẽ,I will call you later.,/wɪl/
My,Của tôi,This is my phone.,/maɪ/
One,Một,I have one brother.,/wʌn/
All,Tất cả,All the students are here.,/ɔːl/
Would,Sẽ (thể lịch sự/quá khứ),Would you like some water?,/wʊd/
There,Ở đó,Look over there.,/ðer/
Their,Của họ,That is their house.,/ðer/
What,Cái gì,What is that?,/wɒt/
So,"Vì vậy, quá","It was cold, so I wore a coat.",/səʊ/
Up,Lên,Look up at the sky.,/u/
Out,Ra ngoài,Let's go out.,/aʊt/
If,Nếu,"If it rains, I will stay home.",/ɪf/
About,Về,Tell me about yourself.,/əˈbaʊt/
Who,Ai,Who are you?,/huː/
Get,"Lấy, nhận",I need to get some sleep.,/ɡet/
Which,Cái nào,Which one do you prefer?,/wɪtʃ/
Go,Đi,Let's go home.,/ɡəʊ/
Me,Tôi,Please help me.,/miː/
